time,zone,fee
2023-02-11,37206,8
2023-02-11,37207,2
2023-02-11,37208,20
2023-02-11,37209,18
2023-02-12,37001,26
2023-02-12,37005,6
2023-02-12,37008,1
2023-02-12,37010,1
2023-02-12,37101,2
2023-02-12,37104,1
2023-02-12,37105,1
2023-02-12,37106,1
2023-02-12,37108,9
2023-02-12,37202,1
2023-02-12,37204,7
2023-02-13,37001,1587
2023-02-13,37005,973
2023-02-13,37008,406
2023-02-13,37009,165
2023-02-13,37010,47
2023-02-13,37101,139
2023-02-13,37102,18
2023-02-13,37103,35
2023-02-13,37104,69
2023-02-13,37105,81
2023-02-13,37106,53
2023-02-13,37107,31
2023-02-13,37108,39
2023-02-13,37109,38
2023-02-13,37201,22
2023-02-13,37202,90
2023-02-13,37203,63
2023-02-13,37204,363
2023-02-13,37205,1
2023-02-13,37206,2
2023-02-13,37207,2
2023-02-13,37208,7
2023-02-14,37001,1679
2023-02-14,37005,1021
2023-02-14,37008,465
2023-02-14,37009,185
2023-02-14,37010,42
2023-02-14,37101,144
2023-02-14,37102,17
2023-02-14,37103,49
2023-02-14,37104,78
2023-02-14,37105,88
2023-02-14,37106,82
2023-02-14,37107,29
2023-02-14,37108,34
2023-02-14,37109,48
2023-02-14,37201,31
2023-02-14,37202,85
2023-02-14,37203,48
2023-02-14,37204,322
2023-02-14,37205,4
2023-02-14,37206,9
2023-02-14,37208,5
2023-02-14,37209,1
2023-02-15,37001,1607
2023-02-15,37005,924
2023-02-15,37008,432
2023-02-15,37009,173
2023-02-15,37010,49
2023-02-15,37101,115
2023-02-15,37102,20
2023-02-15,37103,49
2023-02-15,37104,85
2023-02-15,37105,66
2023-02-15,37106,46
2023-02-15,37107,34
2023-02-15,37108,73
2023-02-15,37109,50
2023-02-15,37201,24
2023-02-15,37202,56
2023-02-15,37203,49
2023-02-15,37204,367
2023-02-15,37205,3
2023-02-15,37206,2
2023-02-15,37207,2
2023-02-15,37208,5
2023-02-16,37001,1694
2023-02-16,37005,1011
2023-02-16,37008,396
2023-02-16,37009,198
2023-02-16,37010,52
2023-02-16,37101,128
2023-02-16,37102,26
2023-02-16,37103,45
2023-02-16,37104,88
2023-02-16,37105,67
2023-02-16,37106,84
2023-02-16,37107,24
2023-02-16,37108,60
2023-02-16,37109,36
2023-02-16,37201,34
2023-02-16,37202,101
2023-02-16,37203,75
2023-02-16,37204,452
2023-02-16,37205,4
2023-02-16,37206,2
2023-02-16,37207,1
2023-02-16,37208,14
2023-02-17,37001,1650
2023-02-17,37005,817
2023-02-17,37008,275
2023-02-17,37009,142
2023-02-17,37010,62
2023-02-17,37101,115
2023-02-17,37102,21
2023-02-17,37103,48
2023-02-17,37104,93
2023-02-17,37105,66
2023-02-17,37106,70
2023-02-17,37107,25
2023-02-17,37108,61
2023-02-17,37109,37
2023-02-17,37201,31
2023-02-17,37202,54
2023-02-17,37203,41
2023-02-17,37204,330
2023-02-17,37205,8
2023-02-17,37206,3
2023-02-17,37207,1
2023-02-17,37208,2
2023-02-18,37001,1190
2023-02-18,37005,485
2023-02-18,37008,54
2023-02-18,37009,24
2023-02-18,37010,25
2023-02-18,37101,117
2023-02-18,37102,23
2023-02-18,37103,47
2023-02-18,37104,54
2023-02-18,37105,75
2023-02-18,37106,134
2023-02-18,37107,17
2023-02-18,37108,61
2023-02-18,37109,24
2023-02-18,37201,19
2023-02-18,37202,15
2023-02-18,37203,33
2023-02-18,37204,283
2023-02-18,37205,19
2023-02-18,37206,4
2023-02-18,37207,4
2023-02-18,37208,8
2023-02-18,37209,18
2023-02-19,37001,27
2023-02-19,37005,12
2023-02-19,37008,3
2023-02-19,37009,4
2023-02-19,37010,2
2023-02-19,37103,5
2023-02-19,37106,1
2023-02-19,37107,1
2023-02-19,37108,8
2023-02-19,37203,1
2023-02-19,37204,7
2023-02-20,37001,1666
2023-02-20,37005,887
2023-02-20,37008,409
2023-02-20,37009,207
2023-02-20,37010,57
2023-02-20,37101,141
2023-02-20,37102,21
2023-02-20,37103,46
2023-02-20,37104,58
2023-02-20,37105,67
2023-02-20,37106,56
2023-02-20,37107,25
2023-02-20,37108,46
2023-02-20,37109,44
2023-02-20,37201,26
2023-02-20,37202,79
2023-02-20,37203,59
2023-02-20,37204,346
2023-02-20,37205,6
2023-02-20,37206,7
2023-02-20,37207,3
2023-02-20,37208,5
2023-02-21,37001,1666
2023-02-21,37005,929
2023-02-21,37008,435
2023-02-21,37009,215
2023-02-21,37010,49
2023-02-21,37101,117
2023-02-21,37102,22
2023-02-21,37103,55
2023-02-21,37104,73
2023-02-21,37105,59
2023-02-21,37106,66
2023-02-21,37107,26
2023-02-21,37108,38
2023-02-21,37109,43
2023-02-21,37201,25
2023-02-21,37202,88
2023-02-21,37203,60
2023-02-21,37204,320
2023-02-21,37205,3
2023-02-21,37206,5
2023-02-21,37208,1
2023-02-22,37001,1564
2023-02-22,37005,921
2023-02-22,37008,392
2023-02-22,37009,182
2023-02-22,37010,44
2023-02-22,37101,117
2023-02-22,37102,17
2023-02-22,37103,46
2023-02-22,37104,77
2023-02-22,37105,65
2023-02-22,37106,62
2023-02-22,37107,28
2023-02-22,37108,49
2023-02-22,37109,47
2023-02-22,37201,25
2023-02-22,37202,71
2023-02-22,37203,51
2023-02-22,37204,338
2023-02-22,37205,2
2023-02-22,37206,5
2023-02-22,37207,2
2023-02-22,37208,4
2023-02-22,37209,1
2023-02-23,37001,1586
2023-02-23,37005,979
2023-02-23,37008,383
2023-02-23,37009,216
2023-02-23,37010,52
2023-02-23,37101,126
2023-02-23,37102,12
2023-02-23,37103,42
2023-02-23,37104,92
2023-02-23,37105,51
2023-02-23,37106,66
2023-02-23,37107,21
2023-02-23,37108,40
2023-02-23,37109,45
2023-02-23,37201,29
2023-02-23,37202,104
2023-02-23,37203,88
2023-02-23,37204,308
2023-02-23,37205,1
2023-02-23,37206,3
2023-02-23,37207,2
2023-02-23,37208,17
2023-02-24,37001,1569
2023-02-24,37005,911
2023-02-24,37008,308
2023-02-24,37009,151
2023-02-24,37010,33
2023-02-24,37101,115
2023-02-24,37102,22
2023-02-24,37103,45
2023-02-24,37104,79
2023-02-24,37105,80
2023-02-24,37106,45
2023-02-24,37107,25
2023-02-24,37108,48
2023-02-24,37109,44
2023-02-24,37201,20
2023-02-24,37202,56
2023-02-24,37203,52
2023-02-24,37204,321
2023-02-24,37205,1
2023-02-24,37206,4
2023-02-24,37207,3
2023-02-24,37208,1
2023-02-25,37001,1245
2023-02-25,37005,591
2023-02-25,37008,52
2023-02-25,37009,15
2023-02-25,37010,24
2023-02-25,37101,108
2023-02-25,37102,23
2023-02-25,37103,59
2023-02-25,37104,57
2023-02-25,37105,99
2023-02-25,37106,186
2023-02-25,37107,31
2023-02-25,37108,56
2023-02-25,37109,34
2023-02-25,37201,37
2023-02-25,37202,18
2023-02-25,37203,26
2023-02-25,37204,281
2023-02-25,37205,7
2023-02-25,37206,4
2023-02-25,37207,4
2023-02-25,37208,11
2023-02-25,37209,11
2023-02-26,37001,33
2023-02-26,37005,13
2023-02-26,37008,5
2023-02-26,37009,2
2023-02-26,37010,1
2023-02-26,37101,1
2023-02-26,37102,2
2023-02-26,37103,2
2023-02-26,37104,2
2023-02-26,37105,4
2023-02-26,37106,2
2023-02-26,37107,1
2023-02-26,37108,17
2023-02-26,37204,3
2023-02-27,37001,1601
2023-02-27,37005,854
2023-02-27,37008,431
2023-02-27,37009,207
2023-02-27,37010,48
2023-02-27,37101,119
2023-02-27,37102,16
2023-02-27,37103,45
2023-02-27,37104,76
2023-02-27,37105,62
2023-02-27,37106,57
2023-02-27,37107,29
2023-02-27,37108,36
2023-02-27,37109,44
2023-02-27,37201,30
2023-02-27,37202,67
2023-02-27,37203,44
2023-02-27,37204,338
2023-02-27,37207,1
2023-02-27,37208,6
2023-02-28,37001,1655
2023-02-28,37005,995
2023-02-28,37008,442
2023-02-28,37009,230
2023-02-28,37010,51
2023-02-28,37101,138
2023-02-28,37102,15
2023-02-28,37103,47
2023-02-28,37104,75
2023-02-28,37105,84
2023-02-28,37106,80
2023-02-28,37107,23
2023-02-28,37108,55
2023-02-28,37109,52
2023-02-28,37201,38
2023-02-28,37202,85
2023-02-28,37203,65
2023-02-28,37204,322
2023-02-28,37205,2
2023-02-28,37206,9
2023-02-28,37208,6
2023-03-01,37001,1557
2023-03-01,37005,904
2023-03-01,37008,369
2023-03-01,37009,215
2023-03-01,37010,55
2023-03-01,37101,67
2023-03-01,37102,9
2023-03-01,37103,43
2023-03-01,37104,73
2023-03-01,37105,52
2023-03-01,37106,56
2023-03-01,37107,25
2023-03-01,37108,42
2023-03-01,37109,38
2023-03-01,37201,24
2023-03-01,37202,67
2023-03-01,37203,51
2023-03-01,37204,278
2023-03-01,37205,3
2023-03-01,37206,5
2023-03-01,37207,2
2023-03-01,37208,7
2023-03-02,37001,1671
2023-03-02,37005,1016
2023-03-02,37008,446
2023-03-02,37009,221
2023-03-02,37010,46
2023-03-02,37101,149
2023-03-02,37102,23
2023-03-02,37103,62
2023-03-02,37104,41
2023-03-02,37105,79
2023-03-02,37106,85
2023-03-02,37107,26
2023-03-02,37108,34
2023-03-02,37109,28
2023-03-02,37201,30
2023-03-02,37202,119
2023-03-02,37203,60
2023-03-02,37204,282
2023-03-02,37205,2
2023-03-02,37206,1
2023-03-02,37207,1
2023-03-02,37208,12
2023-03-03,37001,1610
2023-03-03,37005,926
2023-03-03,37008,311
2023-03-03,37009,152
2023-03-03,37010,43
2023-03-03,37101,106
2023-03-03,37102,22
2023-03-03,37103,58
2023-03-03,37104,63
2023-03-03,37105,66
2023-03-03,37106,59
2023-03-03,37107,28
2023-03-03,37108,49
2023-03-03,37109,27
2023-03-03,37201,36
2023-03-03,37202,55
2023-03-03,37203,69
2023-03-03,37204,303
2023-03-03,37205,2
2023-03-03,37206,8
2023-03-03,37207,1
2023-03-03,37208,11
2023-03-04,37001,1182
2023-03-04,37005,536
2023-03-04,37008,65
2023-03-04,37009,45
2023-03-04,37010,32
2023-03-04,37101,111
2023-03-04,37102,34
2023-03-04,37103,51
2023-03-04,37104,50
2023-03-04,37105,79
2023-03-04,37106,181
2023-03-04,37107,30
2023-03-04,37108,41
2023-03-04,37109,31
2023-03-04,37201,34
2023-03-04,37202,28
2023-03-04,37203,32
2023-03-04,37204,295
2023-03-04,37205,4
2023-03-04,37206,7
2023-03-04,37207,6
2023-03-04,37208,8
2023-03-04,37209,15
2023-03-05,37001,21
2023-03-05,37005,13
2023-03-05,37008,2
2023-03-05,37009,1
2023-03-05,37010,3
2023-03-05,37101,2
2023-03-05,37102,1
2023-03-05,37103,2
2023-03-05,37104,1
2023-03-05,37105,1
2023-03-05,37106,2
2023-03-05,37107,1
2023-03-05,37108,5
2023-03-05,37201,1
2023-03-05,37202,1
2023-03-05,37204,5
2023-03-06,37001,1585
2023-03-06,37005,958
2023-03-06,37008,415
2023-03-06,37009,193
2023-03-06,37010,49
2023-03-06,37101,124
2023-03-06,37102,7
2023-03-06,37103,42
2023-03-06,37104,77
2023-03-06,37105,58
2023-03-06,37106,44
2023-03-06,37107,30
2023-03-06,37108,44
2023-03-06,37109,44
2023-03-06,37201,24
2023-03-06,37202,99
2023-03-06,37203,59
2023-03-06,37204,248
2023-03-06,37206,2
2023-03-06,37208,11
2023-03-06,37209,1
2023-03-07,37001,1571
2023-03-07,37005,922
2023-03-07,37008,407
2023-03-07,37009,205
2023-03-07,37010,51
2023-03-07,37101,120
2023-03-07,37102,9
2023-03-07,37103,47
2023-03-07,37104,66
2023-03-07,37105,61
2023-03-07,37106,56
2023-03-07,37107,19
2023-03-07,37108,29
2023-03-07,37109,35
2023-03-07,37201,22
2023-03-07,37202,94
2023-03-07,37203,67
2023-03-07,37204,261
2023-03-07,37205,4
2023-03-07,37206,3
2023-03-07,37208,5
2023-03-08,37001,1460
2023-03-08,37005,829
2023-03-08,37008,378
2023-03-08,37009,176
2023-03-08,37010,66
2023-03-08,37101,114
2023-03-08,37102,15
2023-03-08,37103,47
2023-03-08,37104,66
2023-03-08,37105,55
2023-03-08,37106,29
2023-03-08,37107,28
2023-03-08,37108,34
2023-03-08,37109,24
2023-03-08,37201,16
2023-03-08,37202,68
2023-03-08,37203,64
2023-03-08,37204,257
2023-03-08,37205,2
2023-03-08,37206,2
2023-03-08,37207,2
2023-03-08,37208,6
2023-03-08,37209,1
2023-03-09,37001,1531
2023-03-09,37005,905
2023-03-09,37008,409
2023-03-09,37009,208
2023-03-09,37010,52
2023-03-09,37101,132
2023-03-09,37102,12
2023-03-09,37103,45
2023-03-09,37104,72
2023-03-09,37105,60
2023-03-09,37106,55
2023-03-09,37107,25
2023-03-09,37108,34
2023-03-09,37109,38
2023-03-09,37201,23
2023-03-09,37202,112
2023-03-09,37203,73
2023-03-09,37204,264
2023-03-09,37205,4
2023-03-09,37206,2
2023-03-09,37208,14
2023-03-09,37209,2
2023-03-10,37001,1625
2023-03-10,37005,821
2023-03-10,37008,301
2023-03-10,37009,152
2023-03-10,37010,50
2023-03-10,37101,119
2023-03-10,37102,12
2023-03-10,37103,64
2023-03-10,37104,73
2023-03-10,37105,72
2023-03-10,37106,88
2023-03-10,37107,30
2023-03-10,37108,68
2023-03-10,37109,35
2023-03-10,37201,36
2023-03-10,37202,86
2023-03-10,37203,53
2023-03-10,37204,267
2023-03-10,37205,5
2023-03-10,37206,3
2023-03-10,37208,10
2023-03-11,37001,1283
2023-03-11,37005,566
2023-03-11,37008,64
2023-03-11,37009,20
2023-03-11,37010,20
2023-03-11,37101,90
2023-03-11,37102,37
2023-03-11,37103,68
2023-03-11,37104,44
2023-03-11,37105,79
2023-03-11,37106,177
2023-03-11,37107,24
2023-03-11,37108,56
2023-03-11,37109,25
2023-03-11,37201,28
2023-03-11,37202,33
2023-03-11,37203,49
2023-03-11,37204,192
2023-03-11,37205,8
2023-03-11,37206,9
2023-03-11,37207,4
2023-03-11,37208,12
2023-03-11,37209,19
2023-03-12,37001,20
2023-03-12,37005,8
2023-03-12,37008,3
2023-03-12,37009,1
2023-03-12,37010,5
2023-03-12,37101,2
2023-03-12,37102,2
2023-03-12,37106,1
2023-03-12,37107,2
2023-03-12,37108,17
2023-03-12,37201,1
2023-03-12,37204,3
2023-03-13,37001,1642
2023-03-13,37005,934
2023-03-13,37008,436
2023-03-13,37009,193
2023-03-13,37010,42
2023-03-13,37101,114
2023-03-13,37102,12
2023-03-13,37103,30
2023-03-13,37104,91
2023-03-13,37105,80
2023-03-13,37106,54
2023-03-13,37107,33
2023-03-13,37108,41
2023-03-13,37109,34
2023-03-13,37201,24
2023-03-13,37202,80
2023-03-13,37203,60
2023-03-13,37204,233
2023-03-13,37205,3
2023-03-13,37206,19
2023-03-13,37207,1
2023-03-13,37208,8
2023-03-14,37001,1606
2023-03-14,37005,1027
2023-03-14,37008,428
2023-03-14,37009,235
2023-03-14,37010,51
2023-03-14,37101,121
2023-03-14,37102,7
2023-03-14,37103,46
2023-03-14,37104,80
2023-03-14,37105,42
2023-03-14,37106,57
2023-03-14,37107,28
2023-03-14,37108,51
2023-03-14,37109,40
2023-03-14,37201,23
2023-03-14,37202,97
2023-03-14,37203,61
2023-03-14,37204,280
2023-03-14,37205,2
2023-03-14,37206,22
2023-03-14,37207,1
2023-03-14,37208,6
2023-03-15,37001,1569
2023-03-15,37005,1004
2023-03-15,37008,404
2023-03-15,37009,218
2023-03-15,37010,65
2023-03-15,37101,104
2023-03-15,37102,15
2023-03-15,37103,50
2023-03-15,37104,84
2023-03-15,37105,63
2023-03-15,37106,54
2023-03-15,37107,22
2023-03-15,37108,36
2023-03-15,37109,45
2023-03-15,37201,25
2023-03-15,37202,70
2023-03-15,37203,56
2023-03-15,37204,352
2023-03-15,37205,1
2023-03-15,37206,4
2023-03-15,37207,1
2023-03-15,37208,2
2023-03-16,37001,1709
2023-03-16,37005,1029
2023-03-16,37008,413
2023-03-16,37009,227
2023-03-16,37010,46
2023-03-16,37101,134
2023-03-16,37102,29
2023-03-16,37103,68
2023-03-16,37104,81
2023-03-16,37105,76
2023-03-16,37106,81
2023-03-16,37107,37
2023-03-16,37108,53
2023-03-16,37109,44
2023-03-16,37201,44
2023-03-16,37202,126
2023-03-16,37203,78
2023-03-16,37204,279
2023-03-16,37205,3
2023-03-16,37206,1
2023-03-16,37207,1
2023-03-16,37208,14
2023-03-16,37209,1
2023-03-17,37001,1644
2023-03-17,37005,896
2023-03-17,37008,298
2023-03-17,37009,138
2023-03-17,37010,50
2023-03-17,37101,118
2023-03-17,37102,24
2023-03-17,37103,68
2023-03-17,37104,93
2023-03-17,37105,76
2023-03-17,37106,78
2023-03-17,37107,39
2023-03-17,37108,74
2023-03-17,37109,40
2023-03-17,37201,21
2023-03-17,37202,65
2023-03-17,37203,47
2023-03-17,37204,312
2023-03-17,37205,4
2023-03-17,37206,2
2023-03-17,37208,8
2023-03-18,37001,1134
2023-03-18,37005,556
2023-03-18,37008,80
2023-03-18,37009,54
2023-03-18,37010,24
2023-03-18,37101,119
2023-03-18,37102,24
2023-03-18,37103,49
2023-03-18,37104,67
2023-03-18,37105,75
2023-03-18,37106,201
2023-03-18,37107,28
2023-03-18,37108,42
2023-03-18,37109,30
2023-03-18,37201,32
2023-03-18,37202,29
2023-03-18,37203,39
2023-03-18,37204,300
2023-03-18,37205,17
2023-03-18,37206,7
2023-03-18,37207,2
2023-03-18,37208,12
2023-03-18,37209,12
2023-03-19,37001,28
2023-03-19,37005,11
2023-03-19,37008,3
2023-03-19,37009,4
2023-03-19,37010,3
2023-03-19,37101,1
2023-03-19,37102,2
2023-03-19,37103,4
2023-03-19,37104,3
2023-03-19,37105,4
2023-03-19,37108,13
2023-03-19,37109,1
2023-03-19,37204,4
2023-03-20,37001,1590
2023-03-20,37005,878
2023-03-20,37008,399
2023-03-20,37009,204
2023-03-20,37010,39
2023-03-20,37101,180
2023-03-20,37102,17
2023-03-20,37103,41
2023-03-20,37104,73
2023-03-20,37105,63
2023-03-20,37106,46
2023-03-20,37107,24
2023-03-20,37108,54
2023-03-20,37109,38
2023-03-20,37201,33
2023-03-20,37202,112
2023-03-20,37203,45
2023-03-20,37204,269
2023-03-20,37206,1
2023-03-20,37207,2
2023-03-20,37208,7
2023-03-21,37001,1608
2023-03-21,37005,1039
2023-03-21,37008,436
2023-03-21,37009,206
2023-03-21,37010,51
2023-03-21,37101,142
2023-03-21,37102,19
2023-03-21,37103,49
2023-03-21,37104,66
2023-03-21,37105,72
2023-03-21,37106,60
2023-03-21,37107,27
2023-03-21,37108,55
2023-03-21,37109,35
2023-03-21,37201,31
2023-03-21,37202,86
2023-03-21,37203,50
2023-03-21,37204,293
2023-03-21,37205,1
2023-03-21,37206,4
2023-03-21,37207,1
2023-03-21,37208,3
2023-03-22,37001,1594
2023-03-22,37005,977
2023-03-22,37008,481
2023-03-22,37009,191
2023-03-22,37010,52
2023-03-22,37101,122
2023-03-22,37102,17
2023-03-22,37103,58
2023-03-22,37104,67
2023-03-22,37105,73
2023-03-22,37106,74
2023-03-22,37107,26
2023-03-22,37108,76
2023-03-22,37109,49
2023-03-22,37201,25
2023-03-22,37202,73
2023-03-22,37203,46
2023-03-22,37204,325
2023-03-22,37205,2
2023-03-22,37207,1
2023-03-22,37208,5
2023-03-22,37209,1
2023-03-23,37001,1611
2023-03-23,37005,1042
2023-03-23,37008,421
2023-03-23,37009,233
2023-03-23,37010,49
2023-03-23,37101,127
2023-03-23,37102,16
2023-03-23,37103,54
2023-03-23,37104,62
2023-03-23,37105,84
2023-03-23,37106,84
2023-03-23,37107,34
2023-03-23,37108,56
2023-03-23,37109,44
2023-03-23,37201,34
2023-03-23,37202,137
2023-03-23,37203,74
2023-03-23,37204,334
2023-03-23,37205,1
2023-03-23,37206,2
2023-03-23,37207,1
2023-03-23,37208,10
2023-03-24,37001,1599
2023-03-24,37005,968
2023-03-24,37008,304
2023-03-24,37009,148
2023-03-24,37010,49
2023-03-24,37101,116
2023-03-24,37102,19
2023-03-24,37103,1
2023-03-24,37104,76
2023-03-24,37105,102
2023-03-24,37106,76
2023-03-24,37107,29
2023-03-24,37108,69
2023-03-24,37109,36
2023-03-24,37201,36
2023-03-24,37202,63
2023-03-24,37203,63
2023-03-24,37204,307
2023-03-24,37206,1
2023-03-24,37207,1
2023-03-24,37208,13
2023-03-25,37001,1013
2023-03-25,37005,491
2023-03-25,37008,84
2023-03-25,37009,23
2023-03-25,37010,19
2023-03-25,37101,102
2023-03-25,37102,25
2023-03-25,37103,1
2023-03-25,37104,41
2023-03-25,37105,85
2023-03-25,37106,167
2023-03-25,37107,11
2023-03-25,37201,47
2023-03-25,37202,14
2023-03-25,37203,26
2023-03-25,37204,2
2023-03-25,37205,7
2023-03-25,37206,3
2023-03-25,37207,1
2023-03-25,37208,10
2023-03-25,37209,7
2023-03-26,37001,24
2023-03-26,37005,12
2023-03-26,37008,3
2023-03-26,37009,1
2023-03-26,37102,1
2023-03-26,37103,1
2023-03-26,37104,1
2023-03-26,37106,1
2023-03-26,37108,17
2023-03-26,37109,1
2023-03-26,37202,1
2023-03-26,37204,5
2023-03-26,37207,2
2023-03-27,37001,1546
2023-03-27,37005,902
2023-03-27,37008,359
2023-03-27,37009,200
2023-03-27,37010,44
2023-03-27,37101,118
2023-03-27,37102,15
2023-03-27,37103,47
2023-03-27,37104,71
2023-03-27,37105,63
2023-03-27,37106,64
2023-03-27,37107,24
2023-03-27,37108,29
2023-03-27,37109,42
2023-03-27,37201,23
2023-03-27,37202,78
2023-03-27,37203,39
2023-03-27,37204,317
2023-03-27,37205,2
2023-03-27,37206,3
2023-03-27,37208,13
2023-03-28,37001,1492
2023-03-28,37005,985
2023-03-28,37008,366
2023-03-28,37009,205
2023-03-28,37010,46
2023-03-28,37101,120
2023-03-28,37102,13
2023-03-28,37103,17
2023-03-28,37104,72
2023-03-28,37105,71
2023-03-28,37106,95
2023-03-28,37107,20
2023-03-28,37108,51
2023-03-28,37109,30
2023-03-28,37201,35
2023-03-28,37202,77
2023-03-28,37203,51
2023-03-28,37204,311
2023-03-28,37205,2
2023-03-28,37207,3
2023-03-28,37208,4
2023-03-28,37209,1
